Name,active,url,name,start,end,pos,height,weight,birthdate,college
Jon Koncak,0,http://www.basketball-reference.com/players/k/koncajo01.html,Jon Koncak,1986,1996,C-F,7-0,250,"May 17, 1963",Southern Methodist University
Anthony Parker,0,http://www.basketball-reference.com/players/p/parkean01.html,Anthony Parker,1998,2012,G,6-6,215,"June 19, 1975",Bradley University
Rick Fox,0,http://www.basketball-reference.com/players/f/foxri01.html,Rick Fox,1992,2004,F-G,6-7,230,"July 24, 1969",University of North Carolina
Rick Mahorn,0,http://www.basketball-reference.com/players/m/mahorri01.html,Rick Mahorn,1981,1999,C-F,6-10,240,"September 21, 1958",Hampton University
Tom Van Arsdale,0,http://www.basketball-reference.com/players/v/vanarto01.html,Tom Van Arsdale,1966,1977,F-G,6-5,202,"February 22, 1943",Indiana University
Kelvin Ransey,0,http://www.basketball-reference.com/players/r/ranseke01.html,Kelvin Ransey,1981,1986,G,6-1,170,"May 3, 1958",Ohio State University
Fab Melo,1,http://www.basketball-reference.com/players/m/melofa01.html,Fab Melo,2013,2013,C,7-0,255,"June 20, 1990",Syracuse University
Juaquin Hawkins,0,http://www.basketball-reference.com/players/h/hawkiju01.html,Juaquin Hawkins,2003,2003,G-F,6-7,220,"July 2, 1973","California State University, Long Beach"
Mike Kearns,0,http://www.basketball-reference.com/players/k/kearnmi01.html,Mike Kearns,1955,1955,G,6-2,178,"June 18, 1929",Princeton University
Kevin Joyce,0,http://www.basketball-reference.com/players/j/joyceke01.html,Kevin Joyce,1974,1976,G,6-3,190,"June 27, 1951",University of South Carolina
Ray Felix,0,http://www.basketball-reference.com/players/f/felixra01.html,Ray Felix,1954,1962,C,6-11,220,"December 10, 1930",Long Island University
Jacky Dorsey,0,http://www.basketball-reference.com/players/d/dorseja01.html,Jacky Dorsey,1978,1981,F,6-7,230,"December 18, 1954",University of Georgia
Bill Crow,0,http://www.basketball-reference.com/players/c/crowbi01.html,Bill Crow,1968,1968,G,6-1,180,"December 9, 1940",Westminster College of Utah
