is_retweet,created_at,text
True,Sat Dec 16 05:47:10 +0000 2017,"RT @SecondLady: Our official Christmas portrait has been released! We took this photo on Saturday, December 9, at the Vice President's Resi…"
True,Fri Dec 01 18:14:08 +0000 2017,RT @WhiteHouse: President Trump proclaims today as #WorldAIDSDay: https://t.co/AMqW8mWiak https://t.co/XGp8EelNzz
True,Sat Dec 02 07:43:43 +0000 2017,RT @VP: Tonight’s tax cut vote in the Senate was a historic victory for the American people. Grateful for the support of @SenateGOP for pas…
True,Thu Dec 07 02:42:53 +0000 2017,RT @SecondLady: Honored to join @FLOTUS in Texas where we visited Charlie Marshall Elementary School--a school affected by #HurricaneHarvey…
True,Wed Nov 29 20:15:46 +0000 2017,"RT @VP: Good seeing New Hampshire's great Governor @GovChrisSununu at the @WhiteHouse today. Talked about @POTUS' priorities of tax cuts, j…"
True,Sat Dec 16 05:45:41 +0000 2017,"RT @realDonaldTrump: Great job Kevin, we are all proud of you! https://t.co/K6hEEaOxKt"
True,Thu Dec 07 15:49:06 +0000 2017,"RT @realDonaldTrump: National Pearl Harbor Remembrance Day - “A day that will live in infamy!” December 7, 1941"
True,Sun Dec 03 16:55:34 +0000 2017,"RT @realDonaldTrump: So General Flynn lies to the FBI and his life is destroyed, while Crooked Hillary Clinton, on that now famous FBI holi…"
True,Sat Dec 09 18:19:56 +0000 2017,RT @realDonaldTrump: It was my great honor to celebrate the opening of two extraordinary museums-the Mississippi State History Museum &amp; the…
True,Fri Dec 01 21:28:41 +0000 2017,"RT @SecondLady: As the Honorary Vice Chairwoman for @SisterCitiesInt, I hosted the Sister City delegates from Frejus, France @VP Residence.…"
True,Thu Dec 14 21:03:01 +0000 2017,"RT @realDonaldTrump: Today, we gathered in the Roosevelt Room for one single reason: to CUT THE RED TAPE! For many decades, an ever-growing…"
True,Thu Dec 14 21:05:00 +0000 2017,"RT @VP: Great discussion w/ @onetoughnerd, @KimReynoldsIA, @BillHaslam &amp; @AsaHutchinson about how @POTUS' priorities of pro-growth tax cuts…"
True,Wed Dec 06 18:07:27 +0000 2017,"RT @realDonaldTrump: Join me live from the @WhiteHouse via #Periscope
https://t.co/wLXKoISSTG"
True,Fri Dec 01 01:01:14 +0000 2017,RT @realDonaldTrump: Today is a day that I’ve been looking very much forward to ALL YEAR LONG. It is one that you have heard me speak about…
True,Sat Dec 09 13:43:40 +0000 2017,"RT @realDonaldTrump: Fake News CNN made a vicious and purposeful mistake yesterday. They were caught red handed, just like lonely Brian Ros…"
True,Sat Dec 09 13:43:42 +0000 2017,"RT @realDonaldTrump: CNN’S slogan is CNN, THE MOST TRUSTED NAME IN NEWS. Everyone knows this is not true, that this could, in fact, be a fr…"
True,Wed Dec 06 16:14:19 +0000 2017,RT @realDonaldTrump: Our thoughts and prayers are with everyone in the path of California’s wildfires. I encourage everyone to heed the adv…
True,Thu Dec 07 21:19:56 +0000 2017,"RT @realDonaldTrump: Today, the U.S. flag flies at half-staff at the @WhiteHouse, in honor of National Pearl Harbor Remembrance Day. https:…"
True,Mon Dec 11 20:36:48 +0000 2017,RT @FLOTUS: A special thank you to all the amazing volunteers who made this year's @WhiteHouse #Christmas decorations a success! https://t.…
True,Sat Dec 02 07:43:56 +0000 2017,"RT @Scavino45: .@VP Mike Pence’s Roll Call Vote on HISTORIC TAX CUTS at 1:36amE on Capitol Hill in Washington, D.C. A great week concludes…"
True,Wed Nov 29 23:10:51 +0000 2017,"RT @realDonaldTrump: This week, the Senate can join the House &amp; take a strong stand for the Middle Class families who are the backbone of A…"
True,Thu Dec 14 21:03:07 +0000 2017,"RT @realDonaldTrump: In 1960, there were approximately 20,000 pages in the Code of Federal Regulations. Today there are over 185,000 pages,…"
False,Fri Dec 01 21:32:52 +0000 2017,Thank you @SecretaryZinke! https://t.co/r84hnW9Aqb
True,Fri Dec 15 19:49:05 +0000 2017,"RT @realDonaldTrump: You are always there for us – THE MEN AND WOMEN IN BLUE.

Thank you to our police, thank you to our sheriffs, and than…"
True,Tue Dec 12 22:21:45 +0000 2017,RT @realDonaldTrump: Wishing all of those celebrating #Hanukkah around the world a happy and healthy eight nights in the company of those t…
True,Thu Nov 30 19:28:58 +0000 2017,RT @realDonaldTrump: Thank you @SenOrrinHatch. Let’s continue MAKING AMERICA GREAT AGAIN! https://t.co/PIv9OAVZcf https://t.co/6egRvuwj1l
True,Sat Dec 16 05:44:39 +0000 2017,RT @VP: Congratulations to the most recent graduates of the @FBI National Academy. THANK YOU for your service to our nation and for helping…
True,Tue Dec 05 17:56:52 +0000 2017,"RT @realDonaldTrump: Yesterday, I was thrilled to be with so many WONDERFUL friends, in Utah’s MAGNIFICENT Capitol.

It was my honor to sig…"
True,Mon Dec 18 18:41:17 +0000 2017,"RT @realDonaldTrump: The train accident that just occurred in DuPont, WA shows more than ever why our soon to be submitted infrastructure p…"
True,Wed Nov 29 23:29:44 +0000 2017,"RT @realDonaldTrump: A vote to CUT TAXES is a vote to PUT AMERICA FIRST. It is time to take care of OUR WORKERS, to protect OUR COMMUNITIES…"
True,Thu Dec 07 02:42:54 +0000 2017,RT @FLOTUS: Thank you #Texas! So enjoyed my visit with everyone today. Special thanks to 1st responders &amp; @CoastalBendFB for all that you d…
True,Fri Dec 08 19:10:18 +0000 2017,RT @SecNielsen: Honored and humbled to take the oath of office to protect and secure our homeland as the sixth Secretary of @DHSgov https:/…
True,Fri Dec 15 19:47:48 +0000 2017,"RT @realDonaldTrump: To each member of the graduating class from the National Academy at Quantico, CONGRATULATIONS! https://t.co/bGT8S33ZLU"
True,Fri Dec 15 21:58:33 +0000 2017,"RT @realDonaldTrump: Today, it was my tremendous honor to visit Marine Helicopter Squadron One (HMX-1) at the Marine Corps Air Facility in…"
True,Fri Dec 08 05:41:25 +0000 2017,RT @realDonaldTrump: I fulfilled my campaign promise - others didn’t! https://t.co/bYdaOHmPVJ
True,Thu Dec 14 17:31:55 +0000 2017,"RT @realDonaldTrump: As a candidate, I promised we would pass a massive tax cut for the everyday, working Americans. If you make your voice…"
True,Fri Dec 08 17:46:50 +0000 2017,RT @realDonaldTrump: MAKE AMERICA GREAT AGAIN! https://t.co/64a93S07s7
True,Mon Dec 11 20:35:44 +0000 2017,RT @VP: .@POTUS &amp; I STAND w/ people of faith. Honored to meet faith leaders to review what POTUS has done to protect life &amp; people of faith…
True,Mon Dec 18 18:51:37 +0000 2017,"RT @realDonaldTrump: My thoughts and prayers are with everyone involved in the train accident in DuPont, Washington. Thank you to all of ou…"
True,Sat Dec 16 20:32:06 +0000 2017,RT @realDonaldTrump: WEEKLY ADDRESS🇺🇸 https://t.co/1sH20Hb33x
True,Thu Dec 07 21:56:42 +0000 2017,"RT @WhiteHouse: President Trump proclaims December 7, 2017, as National Pearl Harbor Remembrance Day: https://t.co/V3CbZBSwYm https://t.co/…"
True,Thu Dec 14 21:04:00 +0000 2017,RT @GOPLeader: The House will vote on the Tax Cuts and Jobs Act next week. https://t.co/Fc0PlySsre
True,Fri Dec 01 21:31:52 +0000 2017,RT @Scavino45: Did you miss @POTUS @realDonaldTrump &amp; @FLOTUS Melania light the National Christmas Tree🎄last night? We’ve got you covered v…
