is_retweet,created_at,text
True,Tue Dec 12 14:32:03 +0000 2017,"RT @realDonaldTrump: Consumer Confidence is at an All-Time High, along with a Record High Stock Market. Unemployment is at a 17 year low. M…"
True,Tue Dec 12 15:33:50 +0000 2017,RT @SecondLady: We appreciate the 40 volunteers who helped to decorate the Vice President's Residence for the #Christmas season! Take a loo…
True,Tue Dec 12 00:01:51 +0000 2017,"RT @NASA: Today, @POTUS signed a directive calling for the United States to lead a human return to the Moon, followed by missions to Mars a…"
False,Wed Dec 06 15:07:50 +0000 2017,Talked w/ Mike Porcaro on @650keni &amp; said that the American people should reach out to their elected representative… https://t.co/MryVZ53MzZ
True,Wed Dec 06 13:41:15 +0000 2017,RT @fema: We approved a fire management grant for California to help firefighters battle the #ThomasFire. https://t.co/fKFtOzQmeB
False,Wed Dec 06 18:56:56 +0000 2017,"Today, @POTUS took a historic step to make it clear America stands with our allies - especially our most cherished… https://t.co/0lWmqmyyqA"
False,Thu Dec 07 22:06:07 +0000 2017,A special honor to join @POTUS Trump and welcome surviving veterans of the attack on Pearl Harbor. As the President… https://t.co/WUIRjOIwP2
True,Thu Dec 07 16:15:56 +0000 2017,"RT @FLOTUS: Today we honor Pearl Harbor Heroes. 12/7/1941
Thank you to all military for your courage and sacrifice! https://t.co/fuxvoaXAno"
False,Thu Dec 14 17:24:36 +0000 2017,.@POTUS is keeping his promises to the American people and fighting to grow the American economy. This is a once-in… https://t.co/Z3T9N2dzQu
True,Mon Dec 18 17:03:27 +0000 2017,"RT @HouseGOP: .@POTUS, #taxreform will be heading your way soon. We’re committed to getting #2059more back in the pockets of everyday Ameri…"
False,Mon Dec 11 20:49:55 +0000 2017,"In signing today's space policy directive, @POTUS Trump is ensuring that America will lead in space once again. Ame… https://t.co/Y4JFcMv5Lw"
True,Mon Dec 18 19:43:38 +0000 2017,RT @realDonaldTrump: Our deepest sympathies and most heartfelt prayers are with the victims of the train derailment in Washington State. We…
True,Mon Dec 18 19:02:32 +0000 2017,RT @WhiteHouse: Watch LIVE as President Trump delivers remarks regarding the Administration’s National Security Strategy: https://t.co/9RcY…
False,Fri Dec 08 15:02:03 +0000 2017,GREAT jobs report! @POTUS &amp; our entire administration will continue fighting for sustained economic prosperity and… https://t.co/JjLmEqu2LV
False,Thu Dec 07 01:26:01 +0000 2017,"We’ll fight to make sure the final TAX CUTS bill reflects what @POTUS laid out earlier this year: 

1) We’re gonna… https://t.co/wcnv91zlqv"
False,Fri Dec 08 20:43:30 +0000 2017,"Our new Secretary of Homeland Security @SecNielsen is now on Twitter! She will help secure our borders, ensure the… https://t.co/4biEKkFvbD"
True,Wed Dec 06 19:20:52 +0000 2017,"RT @EricGreitens: Just spoke to @VP to express my congratulations and gratitude to he and @POTUS for their bold, historic decision to recog…"
True,Thu Dec 07 18:04:56 +0000 2017,"RT @SecondLady: We will all miss Pickle, our very chatty, sweet kitty of 16 years. https://t.co/X4xx8nH6vN"
True,Thu Dec 07 17:06:57 +0000 2017,"RT @FLOTUS: Wonderful to spend time with @secondlady Mrs. Pence, @TexasFLCA Mrs. Abbott and @georgepbush Mr. Bush. Thank you for your servi…"
True,Thu Dec 07 21:48:50 +0000 2017,"RT @SecondLady: Great trip! It was a privilege to join you in Texas, @FLOTUS. #TexasRebuilds #TexasStrong https://t.co/c30NeeimE5"
True,Wed Dec 13 00:16:43 +0000 2017,RT @WhiteHouse: Happy Hanukkah! https://t.co/KPIlNgiA5q
False,Mon Dec 18 19:35:41 +0000 2017,"In less than a year, @POTUS Trump has made enormous progress to promote PEACE through American STRENGTH. https://t.co/nXzLAbe6Ll"
False,Fri Dec 08 11:38:16 +0000 2017,Thanks @POTUS &amp; @FLOTUS for hosting last night's Hanukkah party at the @WhiteHouse! As our Jewish friends look forw… https://t.co/BkJ8e7jV8C
True,Thu Dec 07 21:49:16 +0000 2017,"RT @realDonaldTrump: Today, the U.S. flag flies at half-staff at the @WhiteHouse, in honor of National Pearl Harbor Remembrance Day. https:…"
True,Thu Dec 07 21:49:00 +0000 2017,"RT @WhiteHouse: President Trump proclaims December 7, 2017, as National Pearl Harbor Remembrance Day: https://t.co/V3CbZBSwYm https://t.co/…"
