is_retweet,created_at,text
False,Sat Jan 06 04:32:08 +0000 2018,Michael Wolff is a total loser who made up stories in order to sell this really boring and untruthful book. He used… https://t.co/sk2TeLbqjo
False,Thu Jan 11 11:43:59 +0000 2018,"In new Quinnipiac Poll, 66% of people feel the economy is “Excellent or Good.” That is the highest number ever recorded by this poll."
False,Tue Jan 09 17:11:23 +0000 2018,"On behalf of the American people, THANK YOU to our incredible law enforcement officers. As President of the United… https://t.co/280ORusJ3N"
True,Sun Jan 14 03:50:18 +0000 2018,RT @paulsperry_: https://t.co/aU1rdyKA1W
True,Sun Jan 14 03:42:07 +0000 2018,RT @LouDobbs: The stock market has gained an incredible 7.8 Trillion dollars in market value since @POTUS was elected! Looks like 4% econom…
False,Mon Jan 15 13:02:22 +0000 2018,"...to stop drugs, they want to take money away from our military which we cannot do.” My standard is very simple, A… https://t.co/Q3BJnCHTLv"
False,Tue Jan 16 14:19:46 +0000 2018,"Do you notice the Fake News Mainstream Media never likes covering the great and record setting economic news, but r… https://t.co/8kZJQ8SQZe"
False,Thu Jan 04 11:11:45 +0000 2018,"As Americans, you need identification, sometimes in a very strong and accurate form, for almost everything you do..… https://t.co/rjfQAe1jUJ"
False,Sat Jan 06 12:30:51 +0000 2018,"....to President of the United States (on my first try). I think that would qualify as not smart, but genius....and… https://t.co/X3UO2xDvEv"
False,Sat Jan 06 11:49:02 +0000 2018,"The African American unemployment rate fell to 6.8%, the lowest rate in 45 years. I am so happy about this News! An… https://t.co/CEEM2l6YHv"
False,Thu Jan 04 11:37:46 +0000 2018,So beautiful....Show this picture to the NFL players who still kneel! https://t.co/tJLM1tvbvb
False,Wed Jan 10 03:48:26 +0000 2018,"Thank you @GOPLeader Kevin McCarthy! Couldn’t agree w/you more. TOGETHER, we are #MAGA🇺🇸 https://t.co/QaxtqpyXTR"
False,Sun Jan 14 12:58:43 +0000 2018,The Wall Street Journal stated falsely that I said to them “I have a good relationship with Kim Jong Un” (of N. Kor… https://t.co/ZvyN9rhbFn
True,Sun Jan 14 03:49:56 +0000 2018,"RT @paulsperry_: Fusion GPS, firm behind disputed Russia dossier, retracts its claim of FBI mole in Trump camp
https://t.co/s6CFPXSVqb"
True,Tue Jan 16 00:55:35 +0000 2018,RT @realDonaldTrump: Senator Dicky Durbin totally misrepresented what was said at the DACA meeting. Deals can’t get made when there is no t…
False,Mon Jan 08 14:20:25 +0000 2018,African American unemployment is the lowest ever recorded in our country. The Hispanic unemployment rate dropped a… https://t.co/1SJ1vHcqfI
False,Sun Jan 07 20:42:13 +0000 2018,The Stock Market has been creating tremendous benefits for our country in the form of not only Record Setting Stock… https://t.co/ztq2hDJ7rr
False,Mon Jan 15 12:57:43 +0000 2018,"Statement by me last night in Florida: “Honestly, I don’t think the Democrats want to make a deal. They talk about… https://t.co/L3CS8EO9D9"
False,Wed Jan 10 23:37:41 +0000 2018,Cutting taxes and simplifying regulations makes America the place to invest! Great news as Toyota and Mazda announc… https://t.co/aEV6VyZOMH
False,Sat Jan 13 14:20:01 +0000 2018,I don’t believe the Democrats really want to see a deal on DACA. They are all talk and no action. This is the time… https://t.co/K5o4njHvXx
False,Sat Jan 06 12:27:42 +0000 2018,"....Actually, throughout my life, my two greatest assets have been mental stability and being, like, really smart.… https://t.co/G3374En0XQ"
False,Fri Jan 05 00:11:26 +0000 2018,MAKING AMERICA GREAT AGAIN! https://t.co/iONbr1DkVk
False,Fri Jan 12 13:48:49 +0000 2018,"Never said anything derogatory about Haitians other than Haiti is, obviously, a very poor and troubled country. Nev… https://t.co/HivKR2wF8g"
False,Sat Jan 06 11:57:35 +0000 2018,"Brian Ross, the reporter who made a fraudulent live newscast about me that drove the Stock Market down 350 points (… https://t.co/Cbz6nDw2l8"
False,Thu Jan 04 11:32:22 +0000 2018,"With all of the failed “experts” weighing in, does anybody really believe that talks and dialogue would be going on… https://t.co/EfxwZcRmLZ"
False,Thu Jan 04 02:13:16 +0000 2018,MAKE AMERICA GREAT AGAIN!
False,Fri Jan 12 12:28:58 +0000 2018,"The language used by me at the DACA meeting was tough, but this was not the language used. What was really tough wa… https://t.co/8PvNzf41G4"
False,Thu Jan 04 23:53:05 +0000 2018,"Thank you to the great Republican Senators who showed up to our mtg on immigration reform. We must BUILD THE WALL,… https://t.co/zKHX30vUMI"
False,Sat Jan 13 13:13:12 +0000 2018,"Yesterday was a big day for the stock market. Jobs are coming back to America. Chrysler is coming back to the USA,… https://t.co/0BKC8RejRA"
False,Wed Jan 10 15:00:29 +0000 2018,"The fact that Sneaky Dianne Feinstein, who has on numerous occasions stated that collusion between Trump/Russia has… https://t.co/o5FAEfhS7N"
False,Wed Jan 10 14:11:13 +0000 2018,It just shows everyone how broken and unfair our Court System is when the opposing side in a case (such as DACA) al… https://t.co/sXFgY5c11s
False,Tue Jan 16 13:54:02 +0000 2018,"We must have Security at our VERY DANGEROUS SOUTHERN BORDER, and we must have a great WALL to help protect us, and… https://t.co/QH1uNnvCOq"
False,Thu Jan 11 11:33:06 +0000 2018,Disproven and paid for by Democrats “Dossier used to spy on Trump Campaign. Did FBI use Intel tool to influence the… https://t.co/5nl0H317BJ
False,Sat Jan 06 04:19:10 +0000 2018,Good idea Rand! https://t.co/55sqUDiC0s
False,Sun Jan 07 20:35:39 +0000 2018,"The Fake News Awards, those going to the most corrupt &amp; biased of the Mainstream Media, will be presented to the lo… https://t.co/MFPjW1foo3"
False,Mon Jan 08 22:59:37 +0000 2018,"In every decision we make, we are honoring America’s PROUD FARMING LEGACY. Years of crushing taxes, crippling regs,… https://t.co/biAoH3zNuZ"
False,Thu Jan 11 13:11:46 +0000 2018,“45 year low in illegal immigration this year.” @foxandfriends
False,Thu Jan 11 23:27:03 +0000 2018,"Yesterday, I signed the #INTERDICTAct (H.R. 2142) with bipartisan members of Congress to help end the flow of drugs… https://t.co/7gjyeEu1HY"
True,Mon Jan 15 16:01:11 +0000 2018,"RT @WhiteHouse: ""Dr. King's dream is our dream. It is the American Dream. It's the promise stitched into the fabric of our Nation, etched i…"
False,Tue Jan 09 20:17:17 +0000 2018,"It was my great honor to sign H.R. 267, the “Martin Luther King, Jr. National Historical Park Act,” which redesigna… https://t.co/n68lkuvsWe"
False,Tue Jan 16 14:07:38 +0000 2018,The Democrats want to shut down the Government over Amnesty for all and Border Security. The biggest loser will be… https://t.co/Kv8aUAd3gD
True,Tue Jan 16 00:52:48 +0000 2018,RT @realDonaldTrump: ...big unnecessary regulation cuts made it all possible” (among many other things). “President Trump reversed the poli…
False,Mon Jan 08 03:24:23 +0000 2018,"...Clinton in the WH, doubling down on Barack Obama’s failed policies, washes away any doubts that America made the… https://t.co/e3TjsBYrtb"
False,Fri Jan 12 03:01:20 +0000 2018,Democrat Dianne Feinstein should never have released secret committee testimony to the public without authorization… https://t.co/02erkjcPHU
False,Fri Jan 05 03:52:53 +0000 2018,I authorized Zero access to White House (actually turned him down many times) for author of phony book! I never spo… https://t.co/G8tBCceHUy
False,Fri Jan 05 04:04:20 +0000 2018,The Fake News Media barely mentions the fact that the Stock Market just hit another New Record and that business in… https://t.co/skkiYt1Qj2
False,Tue Jan 16 14:30:00 +0000 2018,Unemployment for Black Americans is the lowest ever recorded. Trump approval ratings with Black Americans has doubl… https://t.co/T5tmchLiz8
True,Tue Jan 16 00:50:19 +0000 2018,"RT @EricTrump: I will be always be incredibly proud of my work for @StJude, raising $16.3+ million dollars over the last 10 years at a 9.2%…"
False,Fri Jan 12 17:56:18 +0000 2018,"Today, it was my great honor to proclaim January 15, 2018, as Martin Luther King Jr., Federal Holiday. I encourage… https://t.co/HMoyGfAZLJ"
